
2025/03/01 (09:58:02) | ===> btop++ v.1.4.0
2025/03/01 (09:58:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/01 (09:58:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (09:58:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/01 (09:58:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/01 (09:58:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (19:18:12) | ===> btop++ v.1.4.0
2025/03/01 (19:18:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/01 (19:18:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (19:18:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/01 (19:18:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/01 (19:18:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/02 (10:06:12) | ===> btop++ v.1.4.0
2025/03/02 (10:06:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/02 (10:06:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/02 (10:06:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/02 (10:06:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/02 (10:06:12) | WARNING: ROCm SMI: Failed to get PCIe throughput
